customer_id,region,segment,industry,tenure_months,credit_limit,avg_balance,annual_spend,prior_late_count,days_since_last_order,orders_per_year,discount_rate,avg_order_value,noise_a,noise_b,days_to_pay,defaulted
C-01053,Mountain Central,Resort,Hospitality,11,29475.07,13347.16,106993.88,4,29,3,2.74,35664.63,41.73,97.81,57.8,0
C-01054,Desert Southwest,Resort,Hospitality,33,21345.79,10238.85,52266.51,6,18,17,2.5,3074.5,43.693,10.137,53.0,1
C-01055,Mountain North,Outfitter,Recreation Services,39,35264.95,16150.72,123637.31,1,30,12,5.32,10303.11,54.204,56.475,36.8,0
C-01056,Mountain Central,Outdoor Retail,Retail,91,62127.94,36897.23,336259.44,1,36,21,5.65,16012.35,22.662,70.96,48.9,0
C-01057,Mountain North,Resort,Hospitality,33,31941.69,15250.89,116760.72,3,51,28,0.71,4170.03,29.914,36.787,39.5,1
C-01058,Mountain Central,Outdoor Retail,Retail,3,13843.69,4761.39,24549.0,0,14,10,5.55,2454.9,73.688,98.59,16.8,0
C-01059,Desert Southwest,Outdoor Retail,Retail,17,65314.37,41390.25,459678.37,2,6,19,0.0,24193.6,75.271,59.526,53.6,1
C-01060,Mountain North,Resort,Hospitality,20,13153.62,3749.14,23100.98,1,21,11,1.84,2100.09,44.105,62.231,20.6,0
C-01061,Mountain Central,School District,Public Sector,32,30667.94,14158.06,99491.2,0,11,27,3.33,3684.86,50.959,23.901,37.7,0
C-01062,Desert Southwest,Resort,Hospitality,21,70427.4,35972.71,402766.49,0,127,29,2.77,13888.5,50.972,23.88,54.7,0
C-01063,Desert Southwest,School District,Public Sector,15,22704.51,10727.78,89834.23,0,9,6,3.41,14972.37,61.449,60.663,28.5,0
C-01064,Mountain Central,Outdoor Retail,Retail,17,47736.28,27370.7,241715.98,1,41,19,7.34,12721.89,42.68,27.661,30.4,0
C-01065,Mountain Central,School District,Public Sector,13,18314.3,6166.19,37065.8,1,35,25,3.16,1482.63,69.936,68.155,30.0,0
C-01066,Desert Southwest,Resort,Hospitality,97,32512.05,18932.91,118802.95,5,32,11,0.92,10800.27,68.32,76.963,37.1,0
C-01067,Desert Southwest,School District,Public Sector,47,70589.15,39080.31,394825.32,1,11,18,1.03,21934.74,45.728,88.043,60.6,0
C-01068,Desert Southwest,School District,Public Sector,26,99964.65,68525.03,863957.26,4,17,32,4.11,26998.66,54.044,26.033,97.9,0
C-01069,Desert Southwest,School District,Public Sector,46,79247.57,46801.15,482575.79,2,60,13,4.46,37121.21,49.58,25.593,69.5,0
C-01070,Mountain North,Resort,Hospitality,45,41664.64,21898.43,236259.66,2,4,22,2.61,10739.08,47.6,4.953,44.8,1
C-01071,Mountain Central,Outdoor Retail,Retail,15,22569.22,9125.12,69769.11,2,72,11,1.93,6342.65,68.443,55.265,21.6,0
C-01072,Mountain Central,Resort,Hospitality,25,28483.95,13563.65,89415.49,3,41,3,4.58,29805.16,66.305,11.09,39.0,0
C-01073,Mountain North,Resort,Hospitality,20,12132.51,2090.17,10503.7,1,49,13,3.92,807.98,49.192,20.925,21.2,0
C-01074,Desert Southwest,Outfitter,Recreation Services,20,32751.47,13583.14,74883.03,0,41,4,5.2,18720.76,52.086,78.075,25.6,0
C-01075,Mountain North,Outfitter,Recreation Services,27,19847.04,9890.73,68985.14,1,37,11,1.82,6271.38,63.219,93.647,22.0,0
C-01076,Mountain North,School District,Public Sector,23,71905.97,37564.25,315772.11,5,26,19,2.96,16619.58,54.599,42.632,63.5,1
C-01077,Mountain Central,Outfitter,Recreation Services,11,19490.98,6968.16,54930.05,5,23,9,2.82,6103.34,49.669,73.419,33.0,0
C-01078,Mountain North,School District,Public Sector,2,52570.56,32261.0,380216.41,4,8,28,2.56,13579.16,53.621,23.987,65.5,0
C-01079,Mountain Central,Outdoor Retail,Retail,31,23086.89,5362.58,31684.45,2,22,17,3.45,1863.79,53.782,42.586,25.5,0
C-01080,Mountain Central,School District,Public Sector,8,20079.17,6899.22,51578.45,3,27,14,1.48,3684.17,62.635,98.698,37.9,0
C-01081,Mountain North,School District,Public Sector,8,14766.79,5620.62,27034.96,2,18,5,4.69,5406.99,52.895,10.511,37.2,0
C-01082,Mountain Central,Resort,Hospitality,103,25507.27,13582.57,95172.15,3,28,11,1.02,8652.01,49.073,54.091,34.7,1
C-01083,Mountain Central,Outdoor Retail,Retail,14,22131.4,8354.76,64055.96,1,34,10,3.76,6405.6,27.017,57.087,18.9,0
C-01084,Desert Southwest,Outdoor Retail,Retail,55,12587.49,3219.44,12643.14,3,23,8,5.96,1580.39,18.089,64.222,25.2,1
C-01085,Mountain Central,Outfitter,Recreation Services,11,30394.86,11811.14,99139.79,2,33,30,3.84,3304.66,57.279,75.035,32.6,0
C-01086,Mountain Central,Outdoor Retail,Retail,27,24924.15,12034.71,74528.09,2,25,14,3.4,5323.44,44.039,63.878,34.5,0
C-01087,Desert Southwest,Resort,Hospitality,42,52254.21,27165.33,223074.37,2,19,20,2.17,11153.72,41.1,30.332,60.0,1
C-01088,Mountain Central,Outdoor Retail,Retail,5,60992.79,27171.38,229879.3,1,18,10,3.9,22987.93,45.352,5.713,44.9,0
C-01089,Mountain Central,School District,Public Sector,13,37104.38,17853.2,129597.75,3,26,19,0.33,6820.93,73.302,85.165,66.7,0
C-01090,Mountain North,Outdoor Retail,Retail,14,64389.76,32903.56,370031.43,2,17,29,6.02,12759.7,57.659,30.623,36.2,0
C-01091,Desert Southwest,Outdoor Retail,Retail,51,38269.57,19839.04,183587.34,2,19,8,1.87,22948.42,60.436,47.991,43.3,0
C-01092,Mountain Central,Outdoor Retail,Retail,81,35358.89,18457.9,173817.65,1,19,21,2.4,8277.03,55.27,73.964,22.0,0
C-01093,Desert Southwest,Outfitter,Recreation Services,39,35345.81,16733.93,121204.02,2,21,28,3.62,4328.71,37.008,28.512,25.8,0
C-01094,Mountain Central,School District,Public Sector,13,76561.1,41223.57,457197.86,2,42,12,0.95,38099.82,51.659,68.699,64.7,0
C-01095,Mountain Central,School District,Public Sector,41,5531.22,732.72,2000.0,3,63,9,1.48,222.22,66.01,73.835,49.3,0
C-01096,Mountain North,Outdoor Retail,Retail,22,16187.35,7027.07,45514.56,2,19,9,3.28,5057.17,34.774,21.647,28.4,0
C-01097,Mountain Central,School District,Public Sector,1,25669.0,9294.24,53470.82,1,62,11,0.33,4860.98,67.255,98.978,29.4,0
C-01098,Desert Southwest,Outdoor Retail,Retail,11,33656.6,10206.2,73737.3,2,33,19,4.93,3880.91,48.383,27.669,17.4,0
C-01099,Mountain North,Outdoor Retail,Retail,23,16479.06,4640.16,32239.26,1,8,7,4.5,4605.61,49.544,81.454,11.0,0
C-01100,Mountain Central,Outdoor Retail,Retail,16,35160.64,16284.86,145713.13,2,20,13,4.08,11208.7,75.264,13.017,36.3,0
C-01101,Mountain Central,Outfitter,Recreation Services,6,16381.77,4160.42,20570.28,1,13,18,2.12,1142.79,54.722,90.896,12.4,0
C-01102,Desert Southwest,Outdoor Retail,Retail,19,35633.16,18648.24,169243.91,2,27,19,6.54,8907.57,44.273,8.43,43.1,1
C-01103,Mountain North,School District,Public Sector,34,63771.61,31772.14,296647.04,0,36,17,2.35,17449.83,50.931,63.083,49.6,0
C-01104,Desert Southwest,School District,Public Sector,19,34711.22,12492.27,105839.2,3,56,14,1.91,7559.94,66.888,24.53,54.0,0
C-01105,Desert Southwest,Resort,Hospitality,15,56406.91,26221.59,284945.8,0,48,13,5.98,21918.91,48.366,94.414,51.1,0
C-01106,Mountain Central,Outdoor Retail,Retail,24,57635.79,23916.25,173462.29,1,44,32,6.19,5420.7,44.133,94.931,25.5,0
C-01107,Desert Southwest,Resort,Hospitality,14,69712.83,43793.63,482531.66,1,4,22,6.12,21933.26,58.868,87.965,50.2,0
C-01108,Desert Southwest,School District,Public Sector,12,15011.86,4503.8,20727.02,1,37,5,1.25,4145.4,20.359,23.06,40.3,0
C-01109,Desert Southwest,Outfitter,Recreation Services,19,29323.56,12646.73,99513.72,5,59,12,4.99,8292.81,54.987,14.567,34.6,1
C-01110,Mountain Central,Resort,Hospitality,37,13931.81,3390.01,11061.92,0,31,10,5.67,1106.19,33.441,94.419,23.5,1
C-01111,Desert Southwest,Outfitter,Recreation Services,21,63615.16,40255.66,483524.98,1,37,14,6.5,34537.5,16.403,64.768,39.2,0
C-01112,Mountain North,School District,Public Sector,15,24526.76,9339.84,75748.66,2,44,13,3.54,5826.82,50.803,56.244,36.9,0
C-01113,Desert Southwest,School District,Public Sector,35,25046.56,10230.44,83965.92,0,31,19,3.78,4419.26,68.708,38.802,20.4,0
C-01114,Mountain North,Resort,Hospitality,28,64827.32,32066.61,347925.21,4,18,16,5.75,21745.33,65.502,16.856,53.0,0
C-01115,Mountain Central,Outdoor Retail,Retail,11,51760.28,32525.23,345406.88,3,18,19,1.48,18179.31,35.721,1.334,46.2,1
C-01116,Mountain Central,Outdoor Retail,Retail,37,21712.48,7739.53,45896.29,1,7,5,3.74,9179.26,53.779,15.29,36.4,0
C-01117,Mountain North,Outdoor Retail,Retail,18,13400.78,3991.3,16773.94,3,12,5,2.85,3354.79,70.197,20.308,34.0,0
C-01118,Mountain North,Outdoor Retail,Retail,30,17029.62,4890.54,23576.66,1,20,25,6.15,943.07,71.253,94.568,23.5,0
C-01119,Mountain Central,Outfitter,Recreation Services,22,41001.07,21914.53,207328.54,4,25,18,4.98,11518.25,57.381,80.848,44.5,0
C-01120,Desert Southwest,Resort,Hospitality,12,13784.19,4532.06,25454.42,1,22,10,3.67,2545.44,24.551,54.804,22.6,0
C-01121,Desert Southwest,Outdoor Retail,Retail,39,20538.79,6814.3,36521.34,2,30,8,1.01,4565.17,25.194,58.641,33.7,0
C-01122,Mountain Central,Outdoor Retail,Retail,71,96823.88,57580.91,718689.39,3,59,19,5.01,37825.76,33.596,49.675,63.9,1
C-01123,Mountain Central,Outfitter,Recreation Services,50,31163.64,12461.34,103877.73,2,71,11,5.59,9443.43,45.085,30.387,27.4,1
C-01124,Mountain Central,School District,Public Sector,36,46724.69,23322.25,195978.56,2,45,16,3.17,12248.66,45.049,15.362,44.6,0
C-01125,Mountain Central,Resort,Hospitality,17,57072.45,30824.56,304010.32,0,8,15,1.91,20267.35,49.912,9.53,36.5,0
C-01126,Mountain North,Outfitter,Recreation Services,56,43646.46,22472.62,200127.84,1,28,12,9.81,16677.32,55.57,25.665,42.9,0
C-01127,Mountain Central,Outdoor Retail,Retail,19,42352.87,22171.54,208290.21,4,9,8,3.3,26036.28,41.001,30.954,55.0,0
C-01128,Desert Southwest,Outfitter,Recreation Services,15,22183.06,7038.99,41418.08,0,100,7,5.92,5916.87,32.879,8.194,23.9,0
C-01129,Mountain Central,Outdoor Retail,Retail,16,92414.28,55797.46,666287.99,4,12,22,3.39,30285.82,47.285,38.68,74.5,1
C-01130,Mountain Central,Resort,Hospitality,13,34541.6,15591.12,134610.36,3,59,29,6.77,4641.74,53.216,10.089,36.0,1
C-01131,Mountain Central,Outdoor Retail,Retail,11,21911.55,8902.84,66486.46,1,14,7,4.52,9498.07,19.867,88.751,45.0,0
C-01132,Mountain North,Outdoor Retail,Retail,5,23345.28,9640.49,55727.59,1,37,15,1.41,3715.17,57.727,80.147,28.1,0
C-01133,Desert Southwest,School District,Public Sector,43,250000.0,200893.47,2952327.79,3,33,69,3.04,42787.36,40.577,89.5,200.1,0
C-01134,Desert Southwest,Outdoor Retail,Retail,11,25270.56,7687.23,34802.75,1,34,10,5.46,3480.27,18.401,21.889,27.8,0
C-01135,Mountain North,Outdoor Retail,Retail,20,39515.58,14966.44,118317.25,3,19,4,2.36,29579.31,68.836,33.922,39.9,0
C-01136,Mountain North,Outdoor Retail,Retail,40,36482.47,17735.13,147202.38,2,48,56,6.36,2628.61,53.346,75.946,29.5,1
C-01137,Mountain North,School District,Public Sector,5,11796.65,3354.61,10212.18,1,9,5,1.79,2042.44,49.365,25.938,29.1,0
C-01138,Mountain Central,School District,Public Sector,39,110478.94,73180.46,1042369.98,1,144,44,0.0,23690.23,51.132,42.304,92.1,0
C-01139,Mountain Central,Resort,Hospitality,59,13094.75,4303.69,19162.05,3,48,3,6.38,6387.35,60.299,55.058,27.2,0
C-01140,Desert Southwest,Outdoor Retail,Retail,32,53490.58,35163.28,362579.24,4,25,10,3.25,36257.92,42.045,40.68,52.3,0
C-01141,Mountain North,School District,Public Sector,46,19810.61,6715.94,41906.46,3,25,28,0.0,1496.66,32.305,30.78,42.3,0
C-01142,Mountain North,Outfitter,Recreation Services,7,29089.74,12831.28,110429.9,2,10,19,7.97,5812.1,55.434,49.191,24.0,0
C-01143,Mountain Central,Outdoor Retail,Retail,10,38770.51,20926.54,174975.23,0,46,18,5.85,9720.85,39.768,32.924,28.7,0
C-01144,Mountain Central,Resort,Hospitality,69,18940.16,7789.43,52876.07,1,63,17,4.46,3110.36,37.671,59.459,22.3,0
C-01145,Mountain North,Outdoor Retail,Retail,20,42772.99,22828.66,191388.64,2,42,18,2.53,10632.7,30.716,6.67,36.9,0
C-01146,Mountain North,School District,Public Sector,37,20400.81,8437.08,46913.83,2,56,10,1.77,4691.38,53.363,33.181,20.9,0
C-01147,Mountain Central,Outdoor Retail,Retail,24,23969.62,9155.28,68133.76,2,21,24,5.24,2838.91,53.87,2.585,24.3,0
C-01148,Mountain Central,School District,Public Sector,58,117443.2,80670.49,923222.16,1,64,22,1.77,41964.64,66.728,20.334,95.1,0
C-01149,Mountain North,Outdoor Retail,Retail,21,61360.71,29269.53,255501.11,3,29,19,4.06,13447.43,64.029,47.652,44.1,0
C-01150,Mountain North,Outdoor Retail,Retail,49,66559.63,49118.9,501536.19,4,50,14,0.24,35824.01,42.536,35.993,66.4,0
C-01151,Desert Southwest,Outdoor Retail,Retail,70,24273.05,7052.19,55327.18,1,27,18,4.27,3073.73,51.857,33.281,20.3,0
C-01152,Mountain North,Outfitter,Recreation Services,57,17496.25,6340.36,33410.52,1,24,4,5.64,8352.63,55.837,28.148,22.2,0
C-01153,Desert Southwest,School District,Public Sector,93,92069.9,55702.47,679788.09,4,37,35,0.53,19422.52,57.223,6.388,84.5,0
C-01154,Desert Southwest,Resort,Hospitality,12,15748.62,7181.76,41690.24,1,64,10,2.16,4169.02,75.121,98.936,31.6,0
C-01155,Mountain North,Outfitter,Recreation Services,66,32471.61,15109.36,114917.9,1,11,19,7.94,6048.31,62.074,50.883,25.2,0
C-01156,Desert Southwest,Outfitter,Recreation Services,51,25472.25,12925.22,110868.73,1,37,21,4.55,5279.46,37.423,74.842,27.9,0
C-01157,Mountain Central,Outfitter,Recreation Services,23,12856.45,4183.94,15298.99,1,68,10,7.64,1529.9,39.613,46.324,14.9,0
C-01158,Desert Southwest,Resort,Hospitality,10,9321.4,2648.5,11736.18,3,18,7,3.21,1676.6,62.77,23.481,25.4,0
C-01159,Mountain Central,Resort,Hospitality,26,49827.71,26963.43,265700.75,2,24,11,7.95,24154.61,51.357,70.73,51.3,0
C-01160,Mountain North,Outfitter,Recreation Services,8,118262.56,72232.88,948374.43,3,20,33,5.08,28738.62,64.304,88.019,81.8,0
C-01161,Mountain Central,School District,Public Sector,52,25239.24,10451.3,63312.19,1,85,20,3.8,3165.61,52.803,19.021,42.0,0
C-01162,Mountain North,Resort,Hospitality,20,13121.92,4135.23,14716.39,1,27,12,2.05,1226.37,43.059,35.058,35.7,0
C-01163,Mountain Central,School District,Public Sector,13,27296.15,8359.22,55922.97,0,148,7,1.73,7989.0,52.388,50.065,31.5,0
C-01164,Mountain Central,Resort,Hospitality,15,34499.71,16761.13,125731.85,5,31,10,3.33,12573.18,32.011,99.005,53.9,1
C-01165,Mountain Central,Outdoor Retail,Retail,16,18329.11,8462.7,49260.71,3,50,23,2.23,2141.77,65.481,40.747,36.1,1
C-01166,Mountain Central,Outdoor Retail,Retail,34,28955.78,12532.57,102702.98,4,22,16,6.8,6418.94,65.266,23.503,32.6,0
C-01167,Desert Southwest,School District,Public Sector,67,13291.04,4434.36,28758.84,0,10,9,1.4,3195.43,45.248,78.14,26.6,1
C-01168,Mountain Central,Outfitter,Recreation Services,27,20765.37,7258.22,43251.71,2,21,20,4.83,2162.59,68.537,92.86,26.2,0
C-01169,Mountain North,Outfitter,Recreation Services,18,10437.14,3055.88,15810.57,0,76,2,3.73,7905.29,55.227,1.188,16.0,0
C-01170,Mountain Central,Outdoor Retail,Retail,32,23390.59,7972.21,47299.69,4,8,14,3.1,3378.55,40.521,56.559,34.5,0
C-01171,Mountain North,School District,Public Sector,33,78992.34,44014.39,498109.16,3,53,21,1.44,23719.48,59.473,18.622,68.6,0
C-01172,Mountain Central,Outfitter,Recreation Services,47,16960.25,6254.41,46386.93,2,68,6,2.52,7731.15,39.111,0.511,32.8,0
C-01173,Mountain North,Outdoor Retail,Retail,10,20064.53,7774.48,52253.51,1,41,8,2.2,6531.69,61.704,41.481,32.4,0
C-01174,Mountain North,School District,Public Sector,28,17995.44,6478.58,35672.27,1,53,22,5.53,1621.47,70.448,4.58,19.5,0
C-01175,Mountain Central,Outfitter,Recreation Services,67,42485.7,19598.81,164209.09,1,6,17,3.63,9659.36,25.064,45.397,28.9,0
C-01176,Mountain North,Resort,Hospitality,15,14135.44,3980.39,20271.01,2,5,13,3.74,1559.31,48.381,26.301,22.8,0
C-01177,Mountain Central,School District,Public Sector,10,21639.72,6099.79,34637.61,2,39,14,0.21,2474.11,68.143,0.047,40.2,0
C-01178,Mountain Central,Outdoor Retail,Retail,2,24739.34,8249.44,56022.61,1,10,13,6.88,4309.43,66.187,52.139,28.0,1
C-01179,Mountain Central,Outdoor Retail,Retail,11,39053.54,20978.37,229251.18,1,20,15,3.29,15283.41,67.086,13.222,20.8,0
C-01180,Mountain Central,School District,Public Sector,24,29321.64,11699.63,78569.84,6,15,18,3.09,4364.99,50.582,70.955,52.2,1
C-01181,Mountain Central,Resort,Hospitality,38,40768.69,20205.58,202777.58,2,25,14,1.45,14484.11,53.291,3.611,42.2,0
C-01182,Mountain North,Outdoor Retail,Retail,22,17441.56,8926.1,62232.32,3,16,16,5.53,3889.52,37.512,24.767,30.0,1
C-01183,Mountain Central,School District,Public Sector,31,34794.33,17701.61,158627.28,1,28,10,0.86,15862.73,52.145,76.391,46.3,0
C-01184,Mountain Central,Resort,Hospitality,55,52753.22,30633.21,275747.92,1,67,12,8.34,22978.99,60.455,43.602,42.2,0
C-01185,Mountain North,Resort,Hospitality,25,31729.21,13052.83,86005.38,1,29,31,2.2,2774.37,51.402,33.173,28.0,0
C-01186,Mountain North,Outdoor Retail,Retail,20,41532.89,21276.98,211561.46,1,33,10,3.98,21156.15,71.072,55.267,36.7,0
C-01187,Mountain North,Resort,Hospitality,46,16741.68,7314.23,50111.08,0,13,13,0.0,3854.7,34.613,50.348,26.1,0
C-01188,Mountain Central,Resort,Hospitality,29,11969.98,3815.79,17818.45,1,36,17,0.14,1048.14,60.258,61.134,27.3,0
C-01189,Mountain North,Outfitter,Recreation Services,47,26364.58,11546.43,63405.1,1,13,5,5.02,12681.02,8.682,7.956,21.4,0
C-01190,Mountain North,Resort,Hospitality,31,38232.32,23875.23,263141.39,2,32,14,1.64,18795.81,49.924,82.642,50.1,0
C-01191,Mountain Central,Outfitter,Recreation Services,35,48654.31,29737.28,304710.52,0,27,15,6.8,20314.03,46.928,89.915,33.1,0
C-01192,Mountain North,School District,Public Sector,36,13471.16,2289.06,10093.34,0,28,21,0.58,480.64,65.842,19.085,23.5,0
C-01193,Mountain Central,Outdoor Retail,Retail,10,28832.75,12458.02,100130.66,4,23,13,6.98,7702.36,66.338,23.03,35.7,1
C-01194,Mountain Central,Outdoor Retail,Retail,17,30236.7,12939.43,87494.97,1,24,15,3.68,5833.0,75.626,91.947,13.1,0
C-01195,Mountain North,Outdoor Retail,Retail,3,7192.35,1714.78,7141.28,4,9,2,4.51,3570.64,27.57,5.743,32.0,1
C-01196,Desert Southwest,Resort,Hospitality,6,8523.69,1754.84,5418.7,0,19,19,1.85,285.19,86.534,56.595,23.6,0
C-01197,Desert Southwest,Outfitter,Recreation Services,17,25833.53,9238.54,74050.28,1,13,13,2.72,5696.18,41.776,90.775,26.3,1
C-01198,Mountain North,School District,Public Sector,29,43288.5,17554.75,180943.18,0,6,21,3.97,8616.34,39.6,41.569,31.4,0
